theorem,mutant,result,encoding,nunchaku,recovery
BitVec.add_eq,0,SAT,23,105,0
BitVec.add_eq,1,SAT,31,54,1
BitVec.ushiftRight_eq,0,SAT,40,106,1
BitVec.udiv_eq,0,SAT,25,1463,0
BitVec.udiv_eq,1,SAT,30,656,0
BitVec.cast_ofNat,0,SAT,19,54,0
BitVec.cast_ofNat,1,SAT,18,1056,1
BitVec.and_eq,0,SAT,34,106,0
BitVec.and_eq,1,SAT,58,108,1
BitVec.mul_eq,0,SAT,31,109,0
BitVec.mul_eq,1,SAT,29,1861,0
BitVec.or_eq,0,SAT,36,1307,1
BitVec.or_eq,1,SAT,30,105,1
BitVec.xor_eq,0,SAT,33,55,0
BitVec.xor_eq,1,SAT,32,105,1
BitVec.umod_eq,0,SAT,42,107,0
BitVec.umod_eq,1,SAT,29,111,0
BitVec.natCast_eq_ofNat,0,SAT,58,109,0
BitVec.getLsbD_eq_getElem,0,SAT,147,164,1
BitVec.shiftLeft_eq,0,SAT,73,111,1
BitVec.sub_eq,0,SAT,74,166,0
BitVec.sub_eq,1,SAT,81,163,1
BitVec.getLsb?_eq_getElem?,0,SAT,164,217,1
