theorem,mutant,result,encoding,nunchaku,recovery
Fin.val_ne_of_ne,0,SAT,19,56,0
Fin.val_ne_of_ne,1,SAT,17,55,0
Fin.val_ne_of_ne,2,SAT,17,54,0
Fin.Internal.ofNat_eq_ofNat,0,SAT,30,809,0
Fin.exists_iff,0,SAT,15,154,0
Fin.val_add_one_le_of_gt,0,SAT,20,55,0
Fin.val_add_one_le_of_gt,1,SAT,17,54,0
Fin.val_add_one_le_of_gt,2,SAT,22,54,1
Fin.pos,0,SAT,18,55,0
Fin.val_congr,0,SAT,31,310,0
Fin.val_congr,1,UNSAT,36,109,0
Fin.val_congr,2,UNSAT,43,110,0
Fin.val_lt_of_le,0,SAT,42,158,0
Fin.val_lt_of_le,1,SAT,41,111,1
Fin.val_lt_of_le,2,UNSAT,59,211,1
Fin.val_le_of_le,0,SAT,60,162,1
Fin.val_le_of_le,1,UNSAT,73,212,1
Fin.val_le_of_le,2,UNSAT,56,164,0
Fin.val_inj,0,SAT,69,1521,0
Fin.val_inj,1,SAT,21,55,1
Fin.val_inj,2,SAT,20,1007,0
Fin.ne_of_val_ne,0,SAT,18,757,0
Fin.ne_of_val_ne,1,SAT,20,54,0
Fin.ne_of_val_ne,2,SAT,16,956,0
Fin.modn_lt,0,SAT,30,1209,0
Fin.modn_lt,1,SAT,25,107,1
Fin.modn_lt,2,SAT,38,107,1
Fin.val_le_of_ge,0,SAT,19,54,1
Fin.val_le_of_ge,1,UNSAT,26,1709,0
Fin.val_le_of_ge,2,UNSAT,39,1410,0
Fin.val_add_one_le_of_lt,0,SAT,19,55,0
Fin.val_add_one_le_of_lt,1,SAT,17,55,0
Fin.val_add_one_le_of_lt,2,SAT,23,54,0
