theorem,mutant,result,encoding,nunchaku,recovery
Nat.add_comm,0,SAT,6,161,0
Nat.add_comm,1,SAT,12,116,0
Nat.pred_le_iff_le_succ,0,UNKNOWN,98,11127,0
Nat.pred_le_iff_le_succ,1,SAT,15,54,0
Nat.pred_le_iff_le_succ,2,SAT,9,54,0
Nat.pred_le_iff_le_succ,3,SAT,11,504,1
Nat.lt_of_sub_eq_succ,0,SAT,23,54,0
Nat.lt_of_sub_eq_succ,1,SAT,16,54,0
Nat.lt_of_sub_eq_succ,2,SAT,11,54,0
Nat.lt_of_sub_eq_succ,3,UNKNOWN,12,11063,0
Nat.lt_of_sub_eq_succ,4,SAT,18,54,0
Nat.lt_of_sub_eq_succ,5,SAT,19,53,0
Nat.le_of_not_lt,0,SAT,9,505,0
Nat.le_of_not_lt,1,UNSAT,14,54,0
Nat.le_of_not_lt,2,UNSAT,16,54,0
Nat.pred_inj,0,SAT,14,555,1
Nat.pred_inj,1,SAT,25,55,0
Nat.pred_inj,2,SAT,20,54,0
Nat.pred_inj,3,UNSAT,11,104,0
Nat.pred_inj,4,UNSAT,21,55,1
Nat.pred_inj,5,UNSAT,15,54,0
Nat.add_one_le_add_one_iff,0,SAT,18,107,0
Nat.add_one_le_add_one_iff,1,SAT,27,108,0
Nat.add_one_le_add_one_iff,2,SAT,33,111,0
Nat.lt_or_lt_of_ne,0,SAT,27,107,0
Nat.lt_or_lt_of_ne,1,SAT,28,109,0
Nat.lt_or_lt_of_ne,2,SAT,36,112,0
Nat.lt_or_lt_of_ne,3,SAT,37,110,0
Nat.lt_or_lt_of_ne,4,SAT,48,111,0
Nat.le_or_eq_of_le_succ,0,SAT,36,112,0
Nat.le_or_eq_of_le_succ,1,UNSAT,46,1070,0
Nat.le_or_eq_of_le_succ,2,SAT,16,56,0
Nat.le_or_eq_of_le_succ,3,UNSAT,15,555,0
Nat.not_beq_eq_true_eq,0,SAT,3,55,0
Nat.not_beq_eq_true_eq,1,SAT,2,55,0
Nat.le_of_add_right_le,0,SAT,13,55,1
Nat.le_of_add_right_le,1,UNSAT,23,57,0
Nat.le_of_add_right_le,2,UNSAT,18,55,0
Nat.le_of_add_right_le,3,SAT,18,106,0
Nat.le_of_add_right_le,4,UNKNOWN,27,11075,0
Nat.sub_one_add_one_eq_of_pos,0,SAT,2,54,0
Nat.add_le_add,0,SAT,10,56,0
Nat.add_le_add,1,SAT,11,605,0
Nat.add_le_add,2,SAT,14,54,1
Nat.add_le_add,3,SAT,16,554,0
Nat.add_le_add,4,SAT,18,455,0
Nat.add_le_add,5,UNKNOWN,12,11068,0
Nat.add_le_add,6,SAT,20,54,0
Nat.add_le_add,7,SAT,14,54,0
Nat.add_le_add,8,UNKNOWN,11,11070,0
Nat.add_le_add,9,UNKNOWN,11,11066,0
Nat.add_le_add,10,SAT,18,54,0
Nat.add_le_add,11,UNKNOWN,12,11067,0
Nat.add_le_add,12,SAT,21,54,0
Nat.add_le_add,13,SAT,17,54,0
Nat.sub_eq_of_eq_add,0,SAT,2,54,0
Nat.sub_eq_of_eq_add,1,SAT,2,806,0
Nat.sub_eq_of_eq_add,2,SAT,3,55,1
Nat.sub_eq_of_eq_add,3,SAT,3,54,0
Nat.sub_eq_of_eq_add,4,SAT,3,54,0
Nat.sub_eq_of_eq_add,5,SAT,4,57,0
Nat.sub_eq_of_eq_add,6,SAT,5,57,0
Nat.lt_pred_iff_succ_lt,0,SAT,28,1216,0
Nat.lt_pred_iff_succ_lt,1,SAT,20,56,0
Nat.lt_pred_iff_succ_lt,2,SAT,17,706,0
Nat.lt_pred_iff_succ_lt,3,SAT,16,55,0
Nat.le_sub_one_iff_lt,0,SAT,14,54,0
Nat.le_sub_one_iff_lt,1,SAT,15,55,0
Nat.le_sub_one_iff_lt,2,SAT,19,55,0
Nat.le_sub_one_iff_lt,3,SAT,21,59,0
Nat.le_sub_one_iff_lt,4,SAT,20,58,0
Nat.instNeZeroHPow,0,SAT,16,216,1
Nat.instNeZeroHPow,1,UNKNOWN,25,10337,0
Nat.instNeZeroHPow,2,UNKNOWN,9,10315,0
Nat.le_zero,0,SAT,17,505,0
Nat.lt_of_lt_of_eq,0,SAT,12,55,0
Nat.lt_of_lt_of_eq,1,SAT,11,55,0
Nat.lt_of_lt_of_eq,2,SAT,11,55,0
Nat.lt_of_lt_of_eq,3,SAT,12,55,0
Nat.lt_of_lt_of_eq,4,SAT,14,808,0
Nat.lt_of_lt_of_eq,5,UNSAT,14,54,1
Nat.lt_of_lt_of_eq,6,SAT,22,57,0
Nat.sub_pos_of_lt,0,SAT,27,57,0
