theorem,mutant,result,encoding,nunchaku,recovery
BitVec.add_eq,0,UNSAT,13,53,0
BitVec.ushiftRight_eq,0,UNSAT,14,52,0
BitVec.append_eq,0,UNSAT,18,53,0
BitVec.instSubsingletonOfNatNat,0,UNSAT,12,1053,0
BitVec.ofBool_false,0,UNSAT,21,52,1
BitVec.udiv_eq,0,UNSAT,19,53,0
BitVec.ofNat_eq_ofNat,0,UNSAT,14,53,0
BitVec.cast_ofNat,0,UNSAT,31,455,0
BitVec.and_eq,0,UNSAT,54,156,0
BitVec.neg_eq,0,UNSAT,36,105,1
BitVec.zero_eq,0,UNSAT,47,107,0
BitVec.not_eq,0,UNSAT,85,1365,0
BitVec.mul_eq,0,UNSAT,24,604,0
BitVec.or_eq,0,UNSAT,24,104,0
BitVec.getElem_eq_testBit_toNat,0,UNSAT,35,2656,0
BitVec.xor_eq,0,UNSAT,53,907,1
BitVec.cast_cast,0,UNSAT,23,104,0
BitVec.ofBool_true,0,UNSAT,23,54,0
BitVec.umod_eq,0,UNSAT,47,106,1
BitVec.natCast_eq_ofNat,0,UNSAT,58,462,0
BitVec.getLsbD_eq_getElem,0,UNSAT,93,1815,0
BitVec.ofBool_append,0,UNSAT,82,105,0
BitVec.shiftLeft_eq,0,UNSAT,27,53,1
BitVec.sub_eq,0,UNSAT,28,104,0
BitVec.getLsb?_eq_getElem?,0,UNSAT,80,106,1
BitVec.cast_eq,0,UNSAT,46,2025,0
BitVec.append_ofBool,0,UNSAT,47,1156,0
BitVec.getLsb_eq_getElem,0,UNSAT,40,454,1
BitVec.eq_nil,0,UNSAT,30,1258,0
