theorem,mutant,result,encoding,nunchaku,recovery
Fin.neg_def,0,UNSAT,11,52,0
Fin.toNat_eq_val,0,UNSAT,17,52,0
Fin.val_ne_of_ne,0,UNSAT,11,52,0
Fin.Internal.ofNat_eq_ofNat,0,UNSAT,14,52,0
Fin.exists_iff,0,UNKNOWN,16,11067,0
Fin.val_add_one_le_of_gt,0,UNSAT,12,8119,0
Fin.pos,0,UNKNOWN,15,10275,0
Fin.val_congr,0,UNSAT,21,53,0
Fin.val_lt_of_le,0,UNKNOWN,14,11068,0
Fin.val_le_of_le,0,UNKNOWN,22,11079,0
Fin.val_inj,0,UNSAT,14,52,0
Fin.coe_neg,0,UNSAT,11,553,0
Fin.ne_of_val_ne,0,UNSAT,22,53,0
Fin.modn_lt,0,UNKNOWN,19,11082,1
Fin.val_le_of_ge,0,UNSAT,18,3305,0
Fin.zero_eta,0,UNSAT,18,53,0
Fin.val_add_one_le_of_lt,0,UNSAT,16,103,0
