theorem,mutant,result,encoding,nunchaku,recovery
List.lex_nil_cons,0,UNSAT,3,854,0
List.zipWith_nil_left,0,UNSAT,11,52,0
List.append_assoc,0,UNKNOWN,3,10229,0
List.dropLast_cons₂,0,UNSAT,12,52,0
List.filterTR_loop_eq,0,UNKNOWN,16,11076,1
List.isEqv_cons_nil,0,UNSAT,14,54,0
List.elem_nil,0,UNSAT,6,53,0
List.beq_nil_nil,0,UNSAT,14,52,0
List.replicate_eq_replicateTR,0,UNKNOWN,4,10273,1
List.head?_cons,0,UNSAT,3,53,0
List.zip_nil_right,0,UNSAT,13,103,0
List.and_cons,0,UNSAT,3,653,1
List.drop_eq_nil_of_le,0,UNKNOWN,20,11075,0
List.zipWith_nil_right,0,UNSAT,17,52,0
List.flatten_nil,0,UNSAT,5,55,0
List.zip_nil_left,0,UNSAT,10,2258,0
List.eraseIdx_cons_zero,0,UNSAT,6,54,0
List.length_set,0,UNKNOWN,4,10225,0
List.all_nil,0,UNSAT,4,53,0
List.contains_nil,0,UNSAT,10,52,0
List.reverse_nil,0,UNSAT,2,53,0
List.or_cons,0,UNSAT,3,53,0
List.intersperse_single,0,UNSAT,8,103,0
List.erase_nil,0,UNSAT,12,55,0
List.tailD_cons,0,UNSAT,4,55,0
List.takeWhile_nil,0,UNSAT,15,55,0
List.replace_cons,0,UNSAT,34,108,1
List.leftpad_eq_leftpadTR,0,UNKNOWN,49,11099,0
List.concat_eq_append,0,UNKNOWN,3,10274,0
List.head_cons,0,UNSAT,3,53,0
List.cons_append,0,UNSAT,2,52,0
List.getLastD_cons,0,UNSAT,4,53,0
List.drop_succ_cons,0,UNSAT,7,655,0
List.append_cons,0,UNKNOWN,4,10274,0
List.instLawfulIdentityHAppendNil,0,SAT,18,604,0
List.take_succ_cons,0,UNSAT,5,453,0
List.find?_nil,0,UNSAT,8,54,0
List.length_nil,0,UNSAT,3,52,0
List.zipIdx_cons,0,UNSAT,5,53,0
List.empty_eq,0,UNSAT,2,53,0
List.sum_nil,0,UNSAT,6,53,0
List.isEmpty_cons,0,UNSAT,3,53,0
List.modifyTailIdx_succ_cons,0,UNSAT,6,54,0
List.instReflBEq,0,UNKNOWN,35,11073,0
List.zipIdx_nil,0,UNSAT,6,704,0
List.foldr_cons,0,UNSAT,5,53,0
List.isEqv_nil_cons,0,UNSAT,7,52,1
List.any_nil,0,UNSAT,2,53,0
List.append_nil,0,UNKNOWN,6,10273,0
List.erase_cons,0,UNSAT,10,53,0
List.elem_cons,0,UNSAT,8,52,0
List.all_cons,0,UNSAT,3,52,0
List.isPrefixOf_cons₂,0,UNSAT,10,53,1
List.filterMap_nil,0,UNSAT,12,1859,0
List.elem_eq_true_of_mem,0,UNKNOWN,58,11125,1
List.length_append,0,UNKNOWN,8,11076,0
List.extract_eq_drop_take,0,UNSAT,5,53,0
List.flatMap_nil,0,UNSAT,8,53,0
List.beq_cons₂,0,UNSAT,10,52,0
List.cons_lex_cons,0,UNSAT,7,2464,1
List.reverseAux_reverseAux,0,UNKNOWN,3,11074,1
List.dropLast_single,0,UNSAT,8,653,0
List.getLast?_nil,0,UNSAT,8,54,0
List.lex_cons_nil,0,UNSAT,8,54,0
List.mapTR_loop_eq,0,UNKNOWN,5,11077,1
List.reverseAux_nil,0,UNSAT,3,54,0
List.tail?_nil,0,UNSAT,4,54,0
List.reverseAux_eq_append,0,UNKNOWN,4,10223,0
List.take_zero,0,UNSAT,3,53,0
List.map_cons,0,UNSAT,6,53,0
List.intersperse_eq_intersperseTR,0,UNKNOWN,9,10274,1
List.lookup_nil,0,UNSAT,8,52,0
List.range'_one,0,UNSAT,3,52,0
List.unzip_cons,0,UNSAT,8,53,0
List.nil_append,0,UNSAT,2,53,0
List.map_eq_mapTR,0,UNKNOWN,11,10265,0
List.filterMap_cons,0,UNSAT,13,704,1
List.append_eq_appendTR,0,UNKNOWN,5,10224,0
List.nil_zipWithAll,0,UNSAT,14,53,0
List.tail_nil,0,UNSAT,4,53,0
List.reverseAux_cons,0,UNSAT,2,52,0
List.unzip_eq_unzipTR,0,UNKNOWN,18,10225,0
List.sum_cons,0,UNSAT,6,102,1
List.nil_removeAll,0,UNSAT,8,53,0
List.range'_eq_range'TR,0,UNKNOWN,5,11033,0
List.isPrefixOf_cons_nil,0,UNSAT,9,52,0
List.rotateLeft_nil,0,UNSAT,19,757,0
