theorem,mutant,result,encoding,nunchaku,recovery
Nat.gcd_pos_of_pos_left,0,UNKNOWN,10,11125,1
Nat.gcd_eq_iff,0,UNKNOWN,15,11074,0
Nat.gcd_sub_left_right_of_dvd,0,UNKNOWN,13,11176,1
Nat.gcd_mul_dvd_mul_gcd,0,UNKNOWN,11,11076,0
Nat.gcd_mul_right_add_left,0,UNKNOWN,11,11125,1
Nat.gcd_mul_right_right_of_gcd_eq_one,0,UNKNOWN,13,11073,0
Nat.gcd_rec,0,UNSAT,10,203,0
Nat.gcd_mul_left_right,0,UNKNOWN,13,11083,0
Nat.gcd_sub_self_right,0,UNKNOWN,18,11078,0
Nat.gcd_add_left_right_of_dvd,0,UNKNOWN,18,11130,0
Nat.pow_gcd_pow,0,UNKNOWN,11,11228,0
Nat.instCommutativeGcd,0,UNKNOWN,11,10220,0
Nat.gcd_mul_right_sub_left,0,UNKNOWN,14,11128,0
Nat.gcd_gcd_self_right_left,0,UNKNOWN,19,11173,0
Nat.gcd_one_left,0,UNKNOWN,16,11081,0
Nat.gcd_dvd_gcd_mul_right_right,0,UNKNOWN,17,11070,0
Nat.dvd_mul_gcd_iff_dvd_mul,0,UNKNOWN,17,11073,0
Nat.gcd_mul_right_left,0,UNKNOWN,15,11069,1
Nat.gcd_mul_left_dvd_mul_gcd,0,UNKNOWN,14,11073,0
Nat.gcd_dvd_gcd_mul_left,0,UNKNOWN,11,11074,0
Nat.instIdempotentOpGcd,0,UNKNOWN,11,10274,1
Nat.gcd_gcd_self_left_right,0,UNKNOWN,16,11131,0
Nat.pow_dvd_pow_iff,0,UNKNOWN,3,11061,0
Nat.dvd_gcd_mul_gcd_iff_dvd_mul,0,UNKNOWN,13,11075,0
Nat.gcd_self_add_right,0,UNKNOWN,10,11078,0
Nat.gcd_eq_zero_iff,0,UNKNOWN,15,11175,0
Nat.gcd_div,0,UNKNOWN,13,11125,0
Nat.gcd_self,0,UNKNOWN,16,10226,1
Nat.gcd_mul_left_left,0,UNKNOWN,15,11076,0
Nat.dvd_mul,0,UNKNOWN,3,11078,0
Nat.gcd_dvd_gcd_mul_right_left,0,UNKNOWN,11,11060,1
Nat.gcd_add_mul_self,0,UNKNOWN,12,11124,0
Nat.gcd_ne_zero_right,0,UNKNOWN,11,11179,0
Nat.dvd_gcd,0,UNKNOWN,19,11075,0
Nat.gcd_def,0,UNSAT,11,52,1
Nat.gcd_mul_right_dvd_mul_gcd,0,UNKNOWN,14,11033,0
Nat.instAssociativeGcd,0,UNKNOWN,17,10272,0
Nat.gcd_left_eq_iff,0,UNKNOWN,16,11075,1
Nat.eq_zero_of_gcd_eq_zero_right,0,UNKNOWN,16,11177,0
Nat.gcd_sub_mul_right_right,0,UNKNOWN,17,11128,0
Nat.gcd_sub_mul_left_left,0,UNKNOWN,16,11129,1
Nat.gcd_self_sub_left,0,UNKNOWN,11,11122,0
Nat.gcd_self_sub_right,0,UNKNOWN,16,11174,0
Nat.gcd_add_mul_left_left,0,UNKNOWN,14,11126,0
Nat.gcd_add_self_right,0,UNKNOWN,11,11128,1
Nat.gcd_sub_left_left_of_dvd,0,UNKNOWN,11,11178,0
Nat.gcd_add_right_left_of_dvd,0,UNKNOWN,11,11180,1
Nat.div_gcd_pos_of_pos_right,0,UNKNOWN,12,11129,0
Nat.gcd_div_gcd_div_gcd_of_pos_left,0,UNKNOWN,15,11229,0
Nat.gcd_mul_right_add_right,0,UNKNOWN,15,11176,0
Nat.gcd_ne_zero_left,0,UNKNOWN,12,11217,1
Nat.gcd_eq_left,0,UNKNOWN,11,11128,0
Nat.gcd_dvd_gcd_mul_left_left,0,UNKNOWN,11,11075,0
Nat.gcd_pos_of_pos_right,0,UNKNOWN,15,11122,0
Nat.gcd_eq_left_iff_dvd,0,UNKNOWN,20,11076,0
Nat.gcd_one_right,0,UNKNOWN,14,11079,0
Nat.gcd_assoc,0,UNKNOWN,10,11123,0
Nat.gcd_eq_right,0,UNKNOWN,16,11174,0
Nat.gcd_dvd,0,UNKNOWN,10,11074,1
Nat.pow_gcd_pow_of_gcd_eq_one,0,UNKNOWN,11,11227,1
Nat.gcd_pow_left_of_gcd_eq_one,0,UNKNOWN,11,11227,0
Nat.gcd.induction,0,UNKNOWN,12,11072,0
Nat.gcd_add_mul_right_left,0,UNKNOWN,15,11123,1
Nat.gcd_mul_left_left_of_gcd_eq_one,0,UNKNOWN,10,11128,0
Nat.gcd_self_add_left,0,UNKNOWN,11,11174,1
Nat.dvd_gcd_iff,0,UNKNOWN,12,11067,0
Nat.gcd_comm,0,UNKNOWN,15,11177,0
Nat.gcd_mul_left_sub_left,0,UNKNOWN,15,11126,1
Nat.gcd_sub_mul_left_right,0,UNKNOWN,20,11124,0
Nat.gcd_gcd_self_right_right,0,UNKNOWN,19,11178,1
Nat.gcd_add_mul_left_right,0,UNKNOWN,11,11118,0
Nat.gcd_dvd_gcd_mul_left_right,0,UNKNOWN,13,11073,1
Nat.gcd_gcd_self_left_left,0,UNKNOWN,20,11173,0
Nat.gcd_right_eq_iff,0,UNKNOWN,12,11075,1
Nat.gcd_mul_right,0,UNKNOWN,18,11222,0
Nat.gcd_dvd_gcd_of_dvd_left,0,UNKNOWN,11,11074,0
Nat.gcd_mul_left_sub_right,0,UNKNOWN,18,11125,0
Nat.gcd_dvd_left,0,UNKNOWN,19,11072,0
Nat.gcd_eq_right_iff_dvd,0,UNKNOWN,15,11072,1
Nat.gcd_mul_left,0,UNKNOWN,11,11176,0
Nat.gcd_add_right_right_of_dvd,0,UNKNOWN,13,11082,0
Nat.gcd_dvd_gcd_of_dvd_right,0,UNKNOWN,11,11070,0
Nat.gcd_mul_right_left_of_gcd_eq_one,0,UNKNOWN,13,11118,0
Nat.gcd_add_self_left,0,UNKNOWN,10,11181,0
Nat.gcd_succ,0,UNSAT,14,53,0
Nat.gcd_add_mul_right_right,0,UNKNOWN,15,11125,0
Nat.gcd_pos_iff,0,UNKNOWN,12,11123,1
Nat.gcd_dvd_gcd_mul_right,0,UNKNOWN,11,11069,1
Nat.gcd_mul_right_right,0,UNKNOWN,10,11072,0
Nat.dvd_gcd_mul_iff_dvd_mul,0,UNKNOWN,16,11076,0
Nat.gcd_zero_right,0,UNSAT,10,52,0
Nat.gcd_mul_left_add_right,0,UNKNOWN,15,11127,0
Nat.gcd_div_gcd_div_gcd_of_pos_right,0,UNKNOWN,13,11177,0
Nat.gcd_le_right,0,UNKNOWN,14,11170,0
Nat.gcd_dvd_right,0,UNKNOWN,11,11072,0
Nat.gcd_pow_right_of_gcd_eq_one,0,UNKNOWN,12,11126,0
Nat.eq_zero_of_gcd_eq_zero_left,0,UNKNOWN,10,11177,0
Nat.gcd_sub_self_left,0,UNKNOWN,12,11173,0
Nat.gcd_sub_right_right_of_dvd,0,UNKNOWN,12,11122,0
Nat.gcd_zero_left,0,UNSAT,13,53,0
Nat.gcd_mul_left_right_of_gcd_eq_one,0,UNKNOWN,15,11132,0
Nat.gcd_le_left,0,UNKNOWN,10,11213,0
Nat.gcd_sub_mul_right_left,0,UNKNOWN,14,11126,0
