theorem,mutant,result,encoding,nunchaku,recovery
Option.getDM_some,0,ERR_ENCODING,0,0,0
Option.min_none_none,0,UNSAT,3,1606,0
Option.mapM_some,0,ERR_ENCODING,0,0,0
Option.max_none_none,0,UNSAT,2,1806,0
Option.orElse_none,0,UNSAT,2,52,1
Option.any_none,0,UNSAT,3,53,0
Option.some_get,0,UNSAT,3,603,0
Option.mapA_eq_mapM,0,ERR_ENCODING,0,0,0
Option.bind_none,0,UNSAT,3,53,0
Option.getM_some,0,ERR_ENCODING,0,0,0
Option.instLawfulBEq,0,UNSAT,14,954,0
Option.getD_some,0,UNSAT,2,704,0
Option.max_none_left,0,UNSAT,12,2109,0
Option.getDM_none,0,ERR_ENCODING,0,0,0
Option.min_none_some,0,UNSAT,3,53,0
Option.map_id,0,UNSAT,3,52,0
Option.getM_none,0,ERR_ENCODING,0,0,0
Option.max_none_some,0,UNSAT,3,3072,0
Option.isNone_some,0,UNSAT,5,55,0
Option.isSome_some,0,UNSAT,4,55,0
Option.any_some,0,UNSAT,4,54,0
Option.min_none_left,0,UNSAT,10,2058,1
Option.max_none_right,0,UNSAT,6,52,0
Option.sequence_none,0,ERR_ENCODING,0,0,0
Option.min_none_right,0,UNSAT,3,2310,0
Option.max_some_some,0,UNSAT,5,53,0
Option.mapM_none,0,ERR_ENCODING,1,0,0
Option.join_some,0,UNSAT,7,53,0
Option.orElse_some,0,UNSAT,2,52,0
Option.max_some_none,0,UNSAT,3,1960,0
Option.getD_none,0,UNSAT,2,52,0
Option.map_some,0,UNSAT,3,52,0
Option.isNone_none,0,UNSAT,2,453,0
Option.all_none,0,UNSAT,3,53,0
Option.min_some_some,0,UNSAT,4,53,0
Option.instReflBEq,0,UNSAT,16,153,1
Option.all_some,0,UNSAT,5,54,0
Option.sequence_some,0,ERR_ENCODING,1,0,0
Option.min_some_none,0,UNSAT,9,53,0
Option.map_none,0,UNSAT,4,54,0
Option.isSome_none,0,UNSAT,4,55,0
Option.get_some,0,UNSAT,7,106,0
Option.join_none,0,UNSAT,14,1926,0
Option.bind_some,0,UNSAT,5,756,0
