theorem,mutant,result,encoding,nunchaku,recovery
Option.guard_eq_none_iff,0,UNSAT,3,53,1
Option.pmap_some,0,UNSAT,4,54,0
Option.pfilter_join,0,UNSAT,13,107,0
Option.filter_pbind,0,UNSAT,16,107,0
Option.isNone_guard,0,UNSAT,11,107,0
Option.map_inj_right,0,UNSAT,13,160,0
Option.guard_false,0,UNSAT,9,114,0
Option.not_lt_filter,0,UNSAT,113,113,0
Option.pbind_some,0,UNSAT,10,109,0
Option.join_ne_none',0,UNSAT,29,160,0
Option.isNone_max,0,UNSAT,42,5687,0
Option.filter_map,0,UNSAT,15,107,0
Option.getD_of_ne_none,0,UNSAT,7,57,0
Option.forall_ne_none,0,UNSAT,6,109,0
Option.orElse_eq_orElse,0,UNSAT,7,55,0
Option.bind_eq_bind,0,UNSAT,7,57,0
Option.pelim_join,0,UNSAT,24,111,0
Option.all_bind,0,UNSAT,51,115,0
Option.filter_eq_some_iff,0,UNSAT,25,177,0
Option.get_guard,0,UNSAT,26,155,0
Option.map_eq_none_iff,0,UNSAT,13,159,1
Option.map_id_apply,0,UNSAT,20,109,0
Option.min_pfilter_left,0,UNSAT,23,211,0
Option.liftOrGet_none_right,0,UNSAT,43,163,0
Option.isNone_join,0,UNSAT,26,160,0
Option.get_inj,0,UNSAT,8,160,0
Option.pmap_or,0,UNSAT,46,165,0
Option.map_eq_map,0,UNSAT,22,114,0
Option.pelim_some,0,UNSAT,9,260,0
Option.merge_le_iff,0,UNSAT,76,808,1
Option.filter_eq_bind,0,UNSAT,64,163,0
Option.liftOrGet_some_some,0,UNSAT,21,112,1
Option.max_filter_left,0,UNSAT,47,211,0
Option.getD_choice,0,UNSAT,46,222,0
Option.ite_some_none_eq_some,0,UNSAT,17,264,0
Option.get_none,0,UNSAT,23,216,0
Option.get_min,0,UNSAT,60,188,0
Option.min_guard_some,0,UNSAT,24,232,0
Option.toArray_some,0,UNSAT,15,209,0
Option.max_eq_right,0,UNSAT,31,261,0
Option.max_some_guard,0,UNSAT,82,271,0
Option.map_or,0,UNSAT,42,259,1
Option.pmap_none',0,UNSAT,115,255,0
Option.all_min,0,UNSAT,74,574,0
Option.isSome_iff_ne_none,0,UNSAT,28,271,0
Option.bind_congr,0,UNSAT,57,240,0
Option.join_eq_get,0,UNSAT,75,269,0
Option.some_get!,0,ERR_ENCODING,62,0,0
Option.any_filter,0,UNSAT,82,304,0
Option.join_eq_some_iff,0,UNSAT,94,495,0
Option.isSome_bind,0,UNSAT,140,330,0
Option.guard_eq_map,0,UNSAT,102,353,0
Option.merge_le,0,UNSAT,130,2298,0
Option.isSome_ite',0,UNSAT,68,241,0
Option.min_eq_right_of_lt,0,UNSAT,116,515,1
Option.get!_or,0,ERR_ENCODING,26,0,0
Option.ext_iff,0,UNSAT,16,179,0
Option.filter_guard,0,UNSAT,48,230,0
Option.get_mem,0,UNSAT,38,161,0
Option.ite_none_left_eq_some,0,UNSAT,25,219,0
Option.isSome_max,0,UNSAT,57,272,0
Option.pbind_eq_none_iff,0,UNSAT,32,215,0
Option.elim_pfilter,0,UNSAT,74,442,0
Option.bind_fun_none,0,UNSAT,27,176,0
Option.get!_none,0,ERR_ENCODING,11,0,0
Option.some_orElse,0,UNSAT,10,311,0
Option.max_guard_some,0,UNSAT,49,419,0
Option.guard_lt_some,0,UNSAT,150,483,0
Option.pfilter_congr,0,UNSAT,58,365,0
Option.instIdempotentOpOr,0,UNSAT,30,372,1
Option.map_min,0,UNSAT,30,812,1
Option.filter_bind,0,UNSAT,51,316,0
Option.isSome_of_isSome_pbind,0,UNSAT,17,312,0
Option.lawfulBEq_iff,0,UNKNOWN,122,11278,1
Option.min_pfilter_right,0,UNSAT,9,102,0
Option.map_if,0,UNSAT,5,53,0
Option.merge_eq_some_iff,0,UNSAT,3,52,0
Option.right_lt_of_merge_lt,0,UNSAT,17,554,0
Option.pelim_guard,0,UNSAT,15,108,0
Option.elim_guard,0,UNSAT,29,106,0
Option.get_of_any_eq_true,0,UNSAT,9,109,0
Option.pmap_none,0,UNSAT,24,163,0
Option.liftOrGet_none_left,0,UNSAT,16,159,0
Option.pbind_none',0,UNSAT,45,175,0
Option.any_map,0,UNSAT,22,108,0
Option.join_eq_none_iff,0,UNSAT,16,113,0
Option.elim_some,0,UNSAT,43,157,0
Option.guard_or_guard,0,UNSAT,23,167,0
Option.elim_none,0,UNSAT,44,176,0
Option.eq_some_of_filter_eq_some,0,UNSAT,32,174,0
Option.or_eq_none_iff,0,UNSAT,42,168,1
Option.get_ite,0,UNSAT,78,191,1
Option.isSome_of_isSome_filter,0,UNSAT,62,226,1
Option.map_apply,0,UNSAT,31,218,0
Option.any_bind,0,UNSAT,50,221,0
Option.lawfulIdentity_merge,0,UNSAT,112,271,1
Option.map_comp_map,0,UNSAT,32,231,0
Option.left_le_of_merge_le,0,UNSAT,68,371,0
Option.or_eq_orElse,0,UNSAT,27,169,0
Option.all_map,0,UNSAT,47,208,0
Option.isNone_map,0,UNSAT,41,215,0
Option.isSome_right_of_isSome_min,0,UNSAT,45,218,0
Option.mem_some_iff,0,UNSAT,14,215,0
Option.not_comp_isSome,0,UNSAT,53,123,0
Option.choice_eq_default,0,ERR_ENCODING,20,0,0
Option.pbind_none,0,UNSAT,28,166,0
Option.pmap_eq_map,0,UNSAT,43,213,1
Option.bind_eq_some_iff,0,UNSAT,45,166,0
Option.max_join_left,0,UNSAT,123,243,0
Option.isNone_choice_iff_not_nonempty,0,UNSAT,76,220,0
Option.choice_eq_none_iff_not_nonempty,0,UNSAT,25,269,0
Option.mem_dite_none_right,0,UNSAT,40,238,0
Option.mem_iff,0,UNSAT,38,230,0
Option.eq_none_or_eq_some,0,UNSAT,13,167,0
Option.dite_none_left_eq_some,0,UNSAT,26,271,0
Option.min_eq_right,0,UNSAT,73,522,1
Option.max_eq_some_iff,0,UNSAT,46,574,0
Option.some_ne_none,0,UNSAT,49,248,0
Option.min_join_right,0,UNSAT,107,228,0
Option.max_eq_left,0,UNSAT,121,359,1
Option.filter_pmap,0,UNSAT,59,325,0
Option.get!_eq_getD,0,ERR_ENCODING,29,0,0
Option.le_none,0,UNSAT,54,224,0
Option.SomeLtNone.wellFounded_lt,0,SAT,64,4754,1
Option.pbind_eq_bind,0,UNSAT,55,188,0
Option.get_dite,0,UNSAT,34,111,0
Option.isSome_pfilter_iff_get,0,UNSAT,8,106,0
Option.isNone_min,0,UNSAT,17,3170,0
Option.isNone_filter,0,UNSAT,9,103,0
Option.mem_of_mem_join,0,UNSAT,10,55,0
Option.min_eq_or,0,UNSAT,15,106,0
Option.min_le_right,0,UNSAT,23,158,0
Option.min_filter_left,0,UNSAT,24,106,0
Option.isSome_or,0,UNSAT,10,106,0
Option.not_rel_some_none,0,UNSAT,17,107,0
Option.forall,0,UNSAT,7,111,0
Option.bind_assoc,0,UNSAT,33,119,0
Option.mem_ite_none_left,0,UNSAT,28,109,0
Option.max_filter_right,0,UNSAT,43,216,0
Option.any_eq_true,0,UNSAT,9,109,0
Option.get_pfilter,0,UNSAT,15,157,0
Option.isNone_bind,0,UNSAT,41,168,0
Option.all_join,0,UNSAT,35,265,0
Option.instIdempotentOpMax,0,UNSAT,144,426,0
Option.join_beq_some,0,UNSAT,227,392,0
Option.eq_none_iff_forall_ne_some,0,UNSAT,20,143,0
Option.bind_guard,0,UNSAT,70,340,0
Option.merge_none_right,0,UNSAT,46,181,0
Option.map_eq_some_iff,0,UNSAT,28,437,0
Option.some_lt_some,0,UNSAT,115,315,0
Option.min_eq_some_iff,0,UNSAT,74,536,0
Option.wellFounded_lt,0,SAT,194,4744,1
Option.isSome_filter,0,UNSAT,40,222,0
Option.map_id_apply',0,UNSAT,36,116,0
Option.le_min,0,UNSAT,36,1114,1
Option.eq_some_unique,0,UNSAT,12,113,0
